time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2021;1;1;0;1.2;2;1;5
2021;1;1;1;1.3;2;1;5
2021;1;1;2;1.4;3;1;5
2021;1;1;3;1.3;2;1;5
2021;1;1;4;0.8;2;1;5
2021;1;1;5;0.8;2;1;5
2021;1;1;6;1.2;2;1;5
2021;1;1;7;1.5;2;1;5
2021;1;1;8;1.6;7;6;5
2021;1;1;9;1.9;36;35;5
2021;1;1;10;2.3;63;62;5
2021;1;1;11;2.9;103;102;5
2021;1;1;12;3.6;238;150;5
2021;1;1;13;3.2;137;122;5
2021;1;1;14;3.2;118;117;5
2021;1;1;15;3;85;83;5
2021;1;1;16;3;16;15;5
2021;1;1;17;2.5;3;2;5
2021;1;1;18;2.4;3;1;5
2021;1;1;19;2.3;2;1;5
2021;1;1;20;2.3;2;1;5
2021;1;1;21;2.1;3;1;5
2021;1;1;22;1.9;3;1;5
2021;1;1;23;1.9;3;1;5
2021;1;2;0;1.9;3;1;5
2021;1;2;1;1.9;3;1;5
2021;1;2;2;1.9;3;1;5
2021;1;2;3;1.8;3;1;5
2021;1;2;4;1.8;3;1;5
2021;1;2;5;1.7;3;1;5
2021;1;2;6;1.6;3;1;5
2021;1;2;7;1.9;3;1;5
2021;1;2;8;1.9;10;8;5
2021;1;2;9;2;39;38;5
2021;1;2;10;2.1;62;61;5
2021;1;2;11;2.2;112;111;5
2021;1;2;12;2.6;239;213;5
2021;1;2;13;2.6;200;182;5
2021;1;2;14;2.4;147;135;5
2021;1;2;15;2.1;67;66;5
2021;1;2;16;1.9;16;14;5
2021;1;2;17;1.7;3;1;5
2021;1;2;18;1.6;3;1;5
2021;1;2;19;1.5;3;1;5
2021;1;2;20;1.4;3;1;5
2021;1;2;21;1.3;3;1;5
2021;1;2;22;1.2;3;1;5
2021;1;2;23;1.1;3;1;5
2021;1;3;0;1;3;1;5
2021;1;3;1;0.9;3;1;5
2021;1;3;2;0.9;3;1;5
2021;1;3;3;0.9;3;1;5
2021;1;3;4;0.9;3;1;5
2021;1;3;5;0.9;3;1;5
2021;1;3;6;0.8;3;1;5
2021;1;3;7;0.9;3;1;5
2021;1;3;8;0.9;7;6;5
2021;1;3;9;0.9;26;25;5
2021;1;3;10;1.1;49;48;5
2021;1;3;11;1.3;77;76;5
2021;1;3;12;1.5;67;67;5
2021;1;3;13;1.6;78;77;5
2021;1;3;14;1.7;101;100;5
2021;1;3;15;1.8;103;101;5
2021;1;3;16;1.7;33;32;5
2021;1;3;17;1.3;3;2;5
2021;1;3;18;0.8;3;1;5
2021;1;3;19;0.5;3;1;5
2021;1;3;20;0.7;2;1;5
2021;1;3;21;1.2;3;1;5
2021;1;3;22;1.3;3;1;5
2021;1;3;23;1.3;3;1;5
2021;1;4;0;1.4;3;1;5
2021;1;4;1;1.3;3;1;5
2021;1;4;2;1.3;3;1;5
2021;1;4;3;1.3;3;1;5
2021;1;4;4;1.1;3;1;5
2021;1;4;5;0.9;3;1;5
2021;1;4;6;0.9;3;1;5
2021;1;4;7;0.8;3;2;5
2021;1;4;8;0.5;9;8;5
2021;1;4;9;0.4;58;57;5
2021;1;4;10;0.4;80;79;5
2021;1;4;11;0.2;108;108;5
2021;1;4;12;0.1;128;128;5
2021;1;4;13;0.3;145;145;5
2021;1;4;14;0.2;114;114;5
2021;1;4;15;0.1;49;48;5
2021;1;4;16;0;11;9;5
2021;1;4;17;0;3;1;5
2021;1;4;18;0.2;3;1;5
2021;1;4;19;0.4;3;1;5
2021;1;4;20;0.4;3;1;5
2021;1;4;21;0.4;3;1;5
2021;1;4;22;0.4;3;1;5
2021;1;4;23;0.3;3;1;5
2021;1;5;0;0.3;3;1;5
2021;1;5;1;0.4;3;1;5
2021;1;5;2;0.5;3;1;5
2021;1;5;3;0.5;3;1;5
2021;1;5;4;0.4;3;1;5
2021;1;5;5;0.5;3;1;5
2021;1;5;6;0.6;3;1;5
2021;1;5;7;0.7;3;1;5
2021;1;5;8;0.9;5;3;5
2021;1;5;9;1;18;17;5
2021;1;5;10;1.5;38;37;5
2021;1;5;11;1.6;52;51;5
2021;1;5;12;1.7;58;57;5
2021;1;5;13;1.5;52;51;5
2021;1;5;14;1.5;78;77;5
2021;1;5;15;1.2;37;36;5
2021;1;5;16;0.9;11;9;5
2021;1;5;17;0.8;3;2;5
2021;1;5;18;0.6;3;1;5
2021;1;5;19;0.6;3;1;5
2021;1;5;20;0.5;3;1;5
2021;1;5;21;0.5;3;1;5
2021;1;5;22;0.4;3;1;5
2021;1;5;23;0.2;3;1;5
2021;1;6;0;0.1;3;1;5
2021;1;6;1;-0.1;3;1;5
2021;1;6;2;-0.2;3;1;5
2021;1;6;3;-0.3;3;1;5
2021;1;6;4;-0.4;3;1;5
2021;1;6;5;-0.6;3;1;5
2021;1;6;6;-0.5;3;1;5
2021;1;6;7;-0.5;3;1;5
2021;1;6;8;-0.3;5;3;5
2021;1;6;9;0;22;21;5
2021;1;6;10;0.7;74;72;5
2021;1;6;11;0.9;66;65;5
2021;1;6;12;1.3;118;117;5
2021;1;6;13;1.6;129;128;5
2021;1;6;14;1.6;118;117;5
2021;1;6;15;1.6;75;74;5
2021;1;6;16;1.5;21;20;5
2021;1;6;17;1.2;4;2;5
2021;1;6;18;1;3;1;5
2021;1;6;19;0.9;3;1;5
