;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand;spec_prod_e;spec_prod_th;ICPe;ICPth
0;1.0;pv;46.5098019;6.6617476;60.0;-150.0;20.0;0.6;44.0;0.5432098765432098;east-west;south;tilt;0.28374431340751155;13379.641679154594;26142.164387232984;47153.867221081004;0.0;0.0;0.0;83274.02166324301;253.29130566577413;0.0;71.86996761822722;0.0
1;1.0;pv;46.5098019;6.6617476;60.0;60.0;20.0;0.6;48.0;0.5925925925925926;east-west;long;tilt;0.2956157075110681;13939.423820442824;28662.42304597168;47153.867221081004;0.0;0.0;0.0;83274.02166324301;254.56757310566948;0.0;75.25417323300803;0.0
2;1.0;pv;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.31024687732506895;14629.340059141308;33215.995419144456;47153.867221081004;0.0;0.0;0.0;83274.02166324301;252.86613054047945;0.0;78.45092738145699;0.0
3;1.0;pv;46.5098019;6.6617476;60.0;0.0;0.0;0.6;37.0;0.4567901234567901;portrait;south;tilt;0.2652843035408266;12509.180825001087;22743.200666329158;47153.867221081004;0.0;0.0;0.0;83274.02166324301;262.0482580330956;0.0;69.51728962639658;0.0
4;1.0;pv;46.5098019;6.6617476;60.0;0.0;7.0;0.6;37.0;0.4567901234567901;portrait;south;max4dist;0.2568186341626962;12109.991775207152;21477.3992299019;47153.867221081004;0.0;0.0;0.0;83274.02166324301;247.4636326631656;0.0;63.55327214549336;0.0
5;1.0;pv;46.5098019;6.6617476;60.0;0.0;10.0;0.6;37.0;0.4567901234567901;portrait;south;tilt+10;0.2527031158255485;11915.929169991368;20874.86197894051;47153.867221081004;0.0;0.0;0.0;83274.02166324301;240.52116931638423;0.0;60.780448908254606;0.0
6;1.0;pv;46.5098019;6.6617476;60.0;0.0;20.0;0.8034164641279677;33.0;0.4074074074074074;portrait;south;tilt+20;0.22548060749135576;10632.282626576072;16666.529227758;47153.867221081004;0.0;0.0;0.0;83274.02166324301;215.30922925811774;0.0;48.548055811615974;0.0
7;1.0;pv;46.5098019;6.6617476;60.0;60.0;0.0;0.6;48.0;0.5925925925925926;portrait;long;tilt;0.2941303851339795;13869.385126293086;29504.69275631891;47153.867221081004;0.0;0.0;0.0;83274.02166324301;262.0482580330956;0.0;77.07635505896283;0.0
8;1.0;pv;46.5098019;6.6617476;60.0;60.0;7.0;0.6;48.0;0.5925925925925926;portrait;long;max4dist;0.28724221887724877;13544.581449226476;28434.285752439744;47153.867221081004;0.0;0.0;0.0;83274.02166324301;252.5413537223267;0.0;72.54053880146527;0.0
9;1.0;pv;46.5098019;6.6617476;60.0;60.0;10.0;0.6;48.0;0.5925925925925926;portrait;long;tilt+10;0.28412217842929205;13397.459476219123;27938.29201606193;47153.867221081004;0.0;0.0;0.0;83274.02166324301;248.13614619528687;0.0;70.5009824040542;0.0
10;1.0;pv;46.5098019;6.6617476;60.0;60.0;20.0;0.8034164641279677;40.0;0.49382716049382713;portrait;long;tilt+20;0.25574713555509415;12059.466472136713;21822.965174446108;47153.867221081004;0.0;0.0;0.0;83274.02166324301;232.58686567501775;0.0;59.48342466412324;0.0
11;1.0;pv;46.5098019;6.6617476;60.0;-30.0;0.0;0.6;44.0;0.5432098765432098;portrait;short;tilt;0.28454368022307935;13417.334915836816;27045.968359958995;47153.867221081004;0.0;0.0;0.0;83274.02166324301;262.0482580330956;0.0;74.56417573678414;0.0
12;1.0;pv;46.5098019;6.6617476;60.0;-30.0;7.0;0.6;44.0;0.5432098765432098;portrait;short;max4dist;0.27777005503301433;13097.932293019121;25839.095217433583;47153.867221081004;0.0;0.0;0.0;83274.02166324301;250.35486992967944;0.0;69.54108599815021;0.0
13;1.0;pv;46.5098019;6.6617476;60.0;-30.0;10.0;0.6;44.0;0.5432098765432098;portrait;short;tilt+10;0.27405958601659697;12922.969329691043;25245.122754082462;47153.867221081004;0.0;0.0;0.0;83274.02166324301;244.59987357424396;0.0;67.03494009146925;0.0
14;1.0;pv;46.5098019;6.6617476;60.0;-30.0;20.0;0.8034164641279677;40.0;0.49382716049382713;portrait;short;tilt+20;0.24876076426068733;11730.032047763083;20927.237102188916;47153.867221081004;0.0;0.0;0.0;83274.02166324301;223.04029016806606;0.0;55.48367304313358;0.0
