;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand
0;0;PV;46.5098019;6.6617476;60.0;-150.0;20.0;0.6;44.0;0.5432098765432098;east-west;south;tilt;0.28374431340751155;13379.641679154594;26142.164387232984;47153.867221081004;0.0;0.0;0.0;83274.02166324301
1;0;ST;46.5098019;6.6617476;60.0;-150.0;20.0;0.6;44.0;0.5432098765432098;east-west;south;tilt;0.0;0.0;0.0;19395.86;0.24183860646708913;20138.873353948882;88065.12377152877;83274.02166324301
2;0;PVT;46.5098019;6.6617476;60.0;-150.0;20.0;0.6;44.0;0.5432098765432098;east-west;south;tilt;0.5471380395575342;22002.809055657;26142164.387232985;40214.36541581075;0.28109496926296745;23407.90855983298;104568.65754893194;83274.02166324301
3;0;PV;46.5098019;6.6617476;60.0;60.0;20.0;0.6;48.0;0.5925925925925926;east-west;long;tilt;0.2956157075110681;13939.423820442824;28662.42304597168;47153.867221081004;0.0;0.0;0.0;83274.02166324301
4;0;ST;46.5098019;6.6617476;60.0;60.0;20.0;0.6;48.0;0.5925925925925926;east-west;long;tilt;0.0;0.0;0.0;19395.86;0.25012793615552614;20829.15917399755;96595.23797744163;83274.02166324301
5;0;PVT;46.5098019;6.6617476;60.0;60.0;20.0;0.6;48.0;0.5925925925925926;east-west;long;tilt;0.5471380395575342;22002.809055657;28662423.04597168;40214.36541581075;0.28917175127781525;24080.494680306707;114649.69218388671;83274.02166324301
6;0;PV;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.31024687732506895;14629.340059141308;33215.995419144456;47153.867221081004;0.0;0.0;0.0;83274.02166324301
7;0;ST;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.0;0.0;0.0;19395.86;0.25682920362874134;21387.200666733257;111881.42392924018;83274.02166324301
8;0;PVT;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.5471380395575342;22002.809055657;33215995.41914445;40214.36541581075;0.29737642283444443;24763.73067725324;132863.98167657782;83274.02166324301
9;0;PV;46.5098019;6.6617476;60.0;0.0;36.0;1.3807267153084744;28.0;0.345679012345679;portrait;south;tilt;0.1861675429006026;8778.519598809917;11536.614876655914;47153.867221081004;0.0;0.0;0.0;83274.02166324301
10;0;ST;46.5098019;6.6617476;60.0;0.0;36.0;1.3807267153084744;28.0;0.345679012345679;portrait;south;tilt;0.0;0.0;0.0;19395.86;0.15078744468474078;12556.676935222162;37453.05099330568;83274.02166324301
11;0;PVT;46.5098019;6.6617476;60.0;0.0;36.0;1.3807267153084744;28.0;0.345679012345679;portrait;south;tilt;0.5471105531418403;22001.703706892313;11536614.876655914;40214.36541581075;0.18806194444799101;15660.674435993607;46146.45950662366;83274.02166324301
12;0;PV;46.5098019;6.6617476;60.0;0.0;7.0;0.6;37.0;0.4567901234567901;portrait;south;max4dist;0.2568186341626962;12109.991775207152;21477.3992299019;47153.867221081004;0.0;0.0;0.0;83274.02166324301
13;0;ST;46.5098019;6.6617476;60.0;0.0;7.0;0.6;37.0;0.4567901234567901;portrait;south;max4dist;0.0;0.0;0.0;19395.86;0.21544452544914103;17940.93207947888;72204.15684939025;83274.02166324301
14;0;PVT;46.5098019;6.6617476;60.0;0.0;7.0;0.6;37.0;0.4567901234567901;portrait;south;max4dist;0.5471380395575342;22002.809055657;21477399.229901906;40214.36541581075;0.25432709546654053;21178.840057430367;85909.5969196076;83274.02166324301
15;0;PV;46.5098019;6.6617476;60.0;0.0;46.0;1.689752636423808;26.0;0.32098765432098764;portrait;south;tilt+10;0.16417106159778488;7741.3004401258595;9324.368376553983;47153.867221081004;0.0;0.0;0.0;83274.02166324301
16;0;ST;46.5098019;6.6617476;60.0;0.0;46.0;1.689752636423808;26.0;0.32098765432098764;portrait;south;tilt+10;0.0;0.0;0.0;19395.86;0.13893026456725305;11569.281861253512;29725.90124832241;83274.02166324301
17;0;PVT;46.5098019;6.6617476;60.0;0.0;46.0;1.689752636423808;26.0;0.32098765432098764;portrait;south;tilt+10;0.5470733362148968;22000.207051792557;9324368.376553982;40214.36541581075;0.17515524525791945;14585.881688038626;37297.47350621593;83274.02166324301
18;0;PV;46.5098019;6.6617476;60.0;0.0;56.0;1.9474362787374955;25.0;0.30864197530864196;portrait;south;tilt+20;0.14571103032493257;6870.838576588779;7760.6606113271955;47153.867221081004;0.0;0.0;0.0;83274.02166324301
19;0;ST;46.5098019;6.6617476;60.0;0.0;56.0;1.9474362787374955;25.0;0.30864197530864196;portrait;south;tilt+20;0.0;0.0;0.0;19395.86;0.12957033365463722;10789.842771669884;24202.27288255846;83274.02166324301
20;0;PVT;46.5098019;6.6617476;60.0;0.0;56.0;1.9474362787374955;25.0;0.30864197530864196;portrait;south;tilt+20;0.5470009842246649;21997.29746241881;7760660.611327194;40214.36541581075;0.165994665710176;13823.043388331977;31042.642445308782;83274.02166324301
21;0;PV;46.5098019;6.6617476;60.0;0.0;66.0;2.14594805517205;24.0;0.2962962962962963;portrait;south;tilt+30;0.1281822942446682;6044.29088290662;6521.281079365281;47153.867221081004;0.0;0.0;0.0;83274.02166324301
